A0A024QZ18	uc004dmu.4 human
I3L0W0	uc060huh.1 human
I3L0W2	uc059rkt.1 human
I3L0W3	uc060lkq.1 human
I3L0W4	uc060aty.1 human
I3L0W5	uc059zel.1 human
I3L0W7	uc060mel.1 human
I3L0W8	uc059sxu.1 human
I3L0W9	uc060auw.1 human
I3L0X1	uc060cmk.1 human
I3L0X3	uc060akn.1 human
I3L0X5	uc021tof.2 human
I3L0X6	uc060alg.1 human
I3L0X7	uc059whg.1 human
I3L0X8	uc059qdz.1 human
I3L0X9	uc059qda.1 human
I3L0Y0	uc059zgc.1 human
I3L0Y1	uc060mvp.1 human
I3L0Y2	uc060akm.1 human
I3L0Y5	uc060gym.1 human
I3L0Y6	uc059qfm.1 human
I3L0Y7	uc059uap.1 human
I3L0Y8	uc059oyo.1 human
I3L0Y9	uc060lgs.1 human
I3L0Z0	uc060avr.1 human
I3L0Z1	uc059twj.1 human
I3L0Z6	uc059zqn.1 human
I3L0Z7	uc059qdm.1 human
I3L0Z8	uc060ajv.1 human
I3L0Z9	uc059qan.1 human
I3L100	uc060anj.1 human
I3L102	uc060lqi.1 human
I3L104	uc060wpc.1 human
I3L106	uc059wpt.1 human
I3L107	uc059zjk.1 human
I3L108	uc059sws.1 human
I3L109	uc059qtf.1 human
I3L111	uc059swf.1 human
I3L112	uc060hso.1 human
I3L113	uc060lgb.1 human
I3L115	uc059pyu.1 human
I3L116	uc059pqz.1 human
I3L117	uc059ucg.1 human
I3L119	uc059tfu.1 human
I3L120	uc060mfb.1 human
I3L121	uc059qac.1 human
I3L122	uc060agb.1 human
I3L124	uc060lcp.1 human
I3L125	uc060lgh.1 human
I3L126	uc060ckd.1 human
I3L127	uc060adg.1 human
I3L129	uc060ahz.1 human
I3L130	uc060wpg.1 human
I3L131	uc060mem.1 human
I3L133	uc059qvx.1 human
I3L134	uc059pgf.1 human
I3L135	uc060zgl.1 human
I3L136	uc059psi.1 human
I3L137	uc002npe.4 human
I3L139	uc060mdt.1 human
I3L141	uc059zsc.1 human
I3L143	uc060meu.1 human
I3L144	uc059rkr.1 human
I3L145	uc010cmt.4 human
I3L146	uc059zyv.1 human
I3L147	uc059prb.1 human
I3L148	uc059seq.1 human
I3L153	uc059pzo.1 human
I3L155	uc059svr.1 human
I3L156	uc060adu.1 human
I3L158	uc059oqn.1 human
I3L159	uc059qfy.1 human
I3L161	uc060aou.1 human
I3L162	uc059was.1 human
I3L163	uc060mev.1 human
I3L164	uc060chk.1 human
I3L165	uc060lmo.1 human
I3L166	uc059scl.1 human
I3L167	uc002cwe.4 human
I3L168	uc059zfp.1 human
I3L170	uc060gjr.1 human
I3L171	uc059wpy.1 human
I3L172	uc021szz.2 human
I3L174	uc059ptg.1 human
I3L175	uc059zum.1 human
I3L176	uc059zlr.1 human
I3L177	uc060coz.1 human
I3L178	uc060mdn.1 human
I3L180	uc059syr.1 human
I3L181	uc059zab.1 human
I3L182	uc059ppg.1 human
I3L183	uc002frr.4 human
I3L184	uc059zbd.1 human
I3L187	uc059wus.1 human
I3L188	uc059prp.1 human
I3L191	uc059vnb.1 human
I3L192	uc060qoy.1 human
I3L193	uc059rol.1 human
I3L194	uc059sxz.1 human
I3L195	uc060hte.1 human
I3L196	uc060llz.1 human
I3L197	uc060cfj.1 human
I3L1A0	uc060gkq.1 human
I3L1A1	uc060mfu.1 human
I3L1A2	uc032dor.2 human
I3L1A3	uc059qxm.1 human
I3L1A4	uc060yhm.1 human
I3L1A5	uc059qwc.1 human
I3L1A6	uc060axk.1 human
I3L1A7	uc059prv.1 human
I3L1A8	uc060all.1 human
I3L1B0	uc060axi.1 human
I3L1B1	uc059zzn.1 human
I3L1B5	uc059ugh.1 human
I3L1B6	uc059vqz.1 human
I3L1B7	uc059ore.1 human
I3L1B9	uc059pzk.1 human
I3L1C0	uc059ppf.1 human
I3L1C1	uc060aue.1 human
I3L1C4	uc060lqk.1 human
I3L1C7	uc059lhl.1 human
I3L1C8	uc060lgk.1 human
I3L1D0	uc060mdc.1 human
I3L1D1	uc059tfd.1 human
I3L1D2	uc060asl.1 human
I3L1D4	uc059qnc.1 human
I3L1D5	uc010vun.3 human
I3L1D9	uc060alc.1 human
I3L1E1	uc002pwn.3 human
I3L1E3	uc060lms.1 human
I3L1E4	uc059pwk.1 human
I3L1E7	uc059psw.1 human
I3L1E8	uc060lne.1 human
I3L1E9	uc060axl.1 human
I3L1F1	uc060lmz.1 human
I3L1F2	uc062nzj.1 human
I3L1F3	uc059zwi.1 human
I3L1F4	uc059zcd.1 human
I3L1F5	uc059qfs.1 human
I3L1F6	uc060apf.1 human
I3L1F7	uc059qst.1 human
I3L1F8	uc060aia.1 human
I3L1F9	uc060lql.1 human
I3L1G0	uc059sfy.1 human
I3L1G1	uc060hqe.1 human
I3L1G2	uc059ziw.1 human
I3L1G4	uc010cms.4 human
I3L1G6	uc059rgx.1 human
I3L1G9	uc059qdx.1 human
I3L1H1	uc060lcy.1 human
I3L1H2	uc060ahv.1 human
I3L1H3	uc059qvn.1 human
I3L1H4	uc060amr.1 human
I3L1H5	uc059zkd.1 human
I3L1H6	uc060cnz.1 human
I3L1H7	uc059psl.1 human
I3L1H9	uc059pqx.1 human
I3L1I0	uc059zbz.1 human
I3L1I3	uc059sja.1 human
I3L1I4	uc060awh.1 human
I3L1I5	uc060smy.1 human
I3L1I6	uc059qer.1 human
I3L1I8	uc059ppb.1 human
I3L1I9	uc059qvr.1 human
I3L1J1	uc010cmp.4 human
I3L1J2	uc002eon.2 human
I3L1J3	uc059pvc.1 human
I3L1J4	uc059pzx.1 human
I3L1J5	uc060afz.1 human
I3L1J7	uc031qxt.2 human
I3L1J9	uc059psx.1 human
I3L1K0	uc059pyi.1 human
I3L1K1	uc060aea.1 human
I3L1K3	uc060gmt.1 human
I3L1K4	uc059zxo.1 human
I3L1K5	uc059wby.1 human
I3L1K6	uc060gni.1 human
I3L1K7	uc060glv.1 human
I3L1K8	uc059zql.1 human
I3L1K9	uc059qdc.1 human
I3L1L0	uc060mfj.1 human
I3L1L3	uc059ztt.1 human
I3L1L4	uc059wgu.1 human
I3L1L5	uc059zpo.1 human
I3L1L6	uc060aby.1 human
I3L1L7	uc059pyn.1 human
I3L1L8	uc060lnj.1 human
I3L1L9	uc060lqe.1 human
I3L1M1	uc059qei.1 human
I3L1M2	uc059vxw.1 human
I3L1M3	uc059rpw.1 human
I3L1M4	uc060cmx.1 human
I3L1M6	uc059zvj.1 human
I3L1M7	uc062evc.1 human
I3L1N0	uc010cma.4 human
I3L1N2	uc059qaw.1 human
I3L1N3	uc059twn.1 human
I3L1N5	uc059pte.1 human
I3L1N8	uc059wbs.1 human
I3L1N9	uc062ypx.1 human
I3L1P1	uc059qvt.1 human
I3L1P2	uc060aej.1 human
I3L1P4	uc059zuy.1 human
I3L1P5	uc060lmn.1 human
I3L1P6	uc060aox.1 human
I3L1P8	uc059zxh.1 human
I3L1P9	uc059tkw.1 human
I3L1Q0	uc059yzx.1 human
I3L1Q1	uc060hpz.1 human
I3L1Q2	uc059tio.1 human
I3L1Q3	uc060alo.1 human
I3L1Q4	uc060zgm.1 human
I3L1Q5	uc059zmi.1 human
I3L1Q6	uc059wbb.1 human
I3L1Q7	uc059qfl.1 human
I3L1Q8	uc059zsb.1 human
I3L1Q9	uc060wov.1 human
I3L1R0	uc059qvw.1 human
I3L1R1	uc059zgg.1 human
I3L1R3	uc060gnf.1 human
I3L1R6	uc059zqb.1 human
I3L1R7	uc060lqa.1 human
I3L1R8	uc060awy.1 human
I3L1S0	uc002crp.2 human
I3L1S2	uc060ama.1 human
I3L1S3	uc060men.1 human
I3L1S7	uc059pye.1 human
I3L1S8	uc060ace.1 human
I3L1S9	uc059sgr.1 human
I3L1T0	uc059rlo.1 human
I3L1T1	uc060cha.1 human
I3L1T2	uc060hpx.1 human
I3L1T3	uc060acd.1 human
I3L1T4	uc059pyp.1 human
I3L1T5	uc059qec.1 human
I3L1T6	uc059qeu.1 human
I3L1T7	uc060apq.1 human
I3L1T8	uc059zhj.1 human
I3L1T9	uc059qes.1 human
I3L1U0	uc059zhg.1 human
I3L1U1	uc059zxc.1 human
I3L1U2	uc059swl.1 human
I3L1U4	uc059zje.1 human
I3L1U5	uc059rnx.1 human
I3L1U7	uc059qcu.1 human
I3L1U8	uc059zdv.1 human
I3L1V0	uc061vxr.1 human
I3L1V1	uc060aok.1 human
I3L1V3	uc060len.1 human
I3L1V4	uc059zjs.1 human
I3L1V5	uc060gkt.1 human
I3L1V6	uc064frf.1 human
I3L1V9	uc060aum.1 human
I3L1W0	uc059oqs.1 human
I3L1W2	uc060aaj.1 human
I3L1W3	uc060aci.1 human
I3L1W5	uc059pqd.1 human
I3L1W6	uc059zau.1 human
I3L1W7	uc059rqd.1 human
I3L1W8	uc059zlp.1 human
I3L1X0	uc059wpv.1 human
I3L1X2	uc060haa.1 human
I3L1X3	uc064awj.1 human
I3L1X4	uc057ekk.1 human
I3L1X5	uc059pzj.1 human
I3L1X7	uc059tvu.1 human
I3L1X9	uc060cga.1 human
I3L1Y1	uc060hrk.1 human
I3L1Y2	uc059qgb.1 human
I3L1Y3	uc059qwu.1 human
I3L1Y4	uc059qxg.1 human
I3L1Y5	uc060lnv.1 human
I3L1Y7	uc059zml.1 human
I3L1Y8	uc059qff.1 human
I3L1Y9	uc059prj.1 human
I3L1Z0	uc059sei.1 human
I3L1Z1	uc059qdv.1 human
I3L1Z2	uc060atq.1 human
I3L1Z3	uc059skk.1 human
I3L1Z4	uc059pwb.1 human
I3L1Z5	uc059sdc.1 human
I3L1Z6	uc059rgp.1 human
I3L1Z7	uc060lbn.1 human
I3L1Z8	uc060axd.1 human
I3L1Z9	uc059zsp.1 human
I3L200	uc060alr.1 human
I3L202	uc059vty.1 human
I3L203	uc059zwv.1 human
I3L204	uc059zfj.1 human
I3L205	uc059pyv.1 human
I3L206	uc061vxq.1 human
I3L207	uc060lce.1 human
I3L208	uc060lln.1 human
I3L209	uc059tnr.1 human
I3L210	uc060afy.1 human
I3L212	uc059qdy.1 human
I3L213	uc059twl.1 human
I3L215	uc059wbf.1 human
I3L216	uc059pwc.1 human
I3L218	uc059sfu.1 human
I3L219	uc059tqi.1 human
I3L222	uc059zwg.1 human
I3L223	uc060hhp.1 human
I3L225	uc060gmv.1 human
I3L228	uc059wgg.1 human
I3L229	uc060awo.1 human
I3L230	uc059vqb.1 human
I3L231	uc059prn.1 human
I3L232	uc002kge.2 human
I3L233	uc060gkg.1 human
I3L234	uc059qxo.1 human
I3L235	uc060lad.1 human
I3L236	uc060akr.1 human
I3L237	uc060beh.1 human
I3L239	uc059qbd.1 human
I3L242	uc060amt.1 human
I3L243	uc060gkf.1 human
I3L244	uc060aco.1 human
I3L245	uc060aba.1 human
I3L246	uc059rju.1 human
I3L247	uc060llp.1 human
I3L250	uc060ldb.1 human
I3L251	uc058jpz.1 human
I3L252	uc058caf.1 human
I3L253	uc059qar.1 human
I3L254	uc059qcs.1 human
I3L257	uc059pzz.1 human
I3L258	uc059qeo.1 human
I3L259	uc059zec.1 human
I3L261	uc060ate.1 human
I3L262	uc059rne.1 human
I3L263	uc059sbw.1 human
I3L265	uc002csl.6 human
I3L266	uc060lct.1 human
I3L267	uc002kbk.1 human
I3L268	uc060anr.1 human
I3L269	uc059rfy.1 human
I3L270	uc059sxr.1 human
I3L273	uc021uxm.1 human
I3L275	uc060chi.1 human
I3L276	uc059qfu.1 human
I3L277	uc059zbx.1 human
I3L280	uc060wpk.1 human
I3L281	uc060lkn.1 human
I3L282	uc059qwp.1 human
I3L283	uc060lkr.1 human
I3L284	uc059xcp.1 human
I3L286	uc060gyv.1 human
I3L287	uc059prw.1 human
I3L288	uc059ruc.1 human
I3L292	uc060lak.1 human
I3L293	uc059qbw.1 human
I3L294	uc061vxt.1 human
I3L295	uc060ast.1 human
I3L297	uc059zew.1 human
I3L298	uc059qay.1 human
I3L299	uc059xct.1 human
I3L2A0	uc059rai.1 human
I3L2A1	uc059zzg.1 human
I3L2A2	uc060hug.1 human
I3L2A3	uc059oro.1 human
I3L2A4	uc060lra.1 human
I3L2A5	uc059swh.1 human
I3L2A7	uc060aeh.1 human
I3L2A8	uc059pxi.1 human
I3L2A9	uc060alq.1 human
I3L2B0	uc059zoj.1 human
I3L2B2	uc010vyp.3 human
I3L2B3	uc060afp.1 human
I3L2B4	uc059pzb.1 human
I3L2B5	uc059aiz.1 human
I3L2B6	uc059lhc.1 human
I3L2B8	uc060aam.1 human
I3L2B9	uc059zpk.1 human
I3L2C0	uc059zde.1 human
I3L2C2	uc059zce.1 human
I3L2C3	uc059zfd.1 human
I3L2C4	uc059sbv.1 human
I3L2C6	uc059onj.1 human
I3L2C7	uc059zbp.1 human
I3L2D0	uc060wga.1 human
I3L2D4	uc059zxl.1 human
I3L2D5	uc059qbe.1 human
I3L2D6	uc060ame.1 human
I3L2D7	uc059slv.1 human
I3L2D8	uc059qqp.1 human
I3L2E0	uc059qux.1 human
I3L2E1	uc059pzy.1 human
I3L2E2	uc059qvk.1 human
I3L2E3	uc059shl.1 human
I3L2E4	uc060gkv.1 human
I3L2E5	uc059qtq.1 human
I3L2E7	uc059pjp.1 human
I3L2E8	uc060hhk.1 human
I3L2E9	uc060cip.1 human
I3L2F1	uc010cmq.4 human
I3L2F2	uc059qxl.1 human
I3L2F3	uc060cgf.1 human
I3L2F4	uc059wah.1 human
I3L2F8	uc060lrh.1 human
I3L2F9	uc060mrh.1 human
I3L2G1	uc060gli.1 human
I3L2G3	uc060mdv.1 human
I3L2G4	uc059wrk.1 human
I3L2G5	uc060acv.1 human
I3L2G6	uc059zud.1 human
I3L2G7	uc059pqn.1 human
I3L2G8	uc059yzv.1 human
I3L2G9	uc060beg.1 human
I3L2H1	uc010vyo.3 human
I3L2H2	uc002cva.3 human
I3L2H4	uc060lmk.1 human
I3L2H5	uc059sds.1 human
I3L2H6	uc059tji.1 human
I3L2H7	uc059zsx.1 human
I3L2H8	uc059ztv.1 human
I3L2H9	uc059rgj.1 human
I3L2I2	uc010vsp.3 human
I3L2I3	uc010wuf.2 human
I3L2I4	uc060zgi.1 human
I3L2I5	uc059pxw.1 human
I3L2I6	uc060lch.1 human
I3L2I9	uc059yzt.1 human
I3L2J0	uc021uvd.2 human
I3L2J1	uc060aew.1 human
I3L2J2	uc059rqa.1 human
I3L2J3	uc060avs.1 human
I3L2J4	uc060cgz.1 human
I3L2J5	uc059qob.1 human
I3L2J6	uc060lgl.1 human
I3L2J7	uc059sww.1 human
I3L2J8	uc010wum.2 human
I3L2J9	uc060lcq.1 human
I3L2K0	uc059slw.1 human
I3L2K1	uc059rlw.1 human
I3L2K2	uc059rpx.1 human
I3L2K5	uc059qwm.1 human
I3L2K6	uc059wak.1 human
I3L2K7	uc059pyo.1 human
I3L2K8	uc060mea.1 human
I3L2L1	uc059zfy.1 human
I3L2L3	uc059zeb.1 human
I3L2L4	uc060lcl.1 human
I3L2L5	uc060lnp.1 human
I3L2L7	uc010uwz.2 human
I3L2L9	uc060lkg.1 human
I3L2M1	uc059tds.1 human
I3L2M4	uc060lgj.1 human
I3L2M5	uc059zjv.1 human
I3L2M6	uc059pzp.1 human
I3L2M8	uc059rlx.1 human
I3L2M9	uc060hrt.1 human
I3L2N0	uc059yzs.1 human
I3L2N1	uc059zrz.1 human
I3L2N2	uc010vtr.2 human
I3L2N4	uc059rga.1 human
I3L2N6	uc060htg.1 human
I3L2N7	uc060htw.1 human
I3L2N8	uc059qwj.1 human
I3L2P0	uc059swz.1 human
I3L2P2	uc059ugg.1 human
I3L2P4	uc059zjp.1 human
I3L2P5	uc059zdx.1 human
I3L2P7	uc059qto.1 human
I3L2P9	uc060chw.1 human
I3L2Q0	uc059zvs.1 human
I3L2Q1	uc060lqg.1 human
I3L2Q3	uc059whf.1 human
I3L2Q4	uc059zsz.1 human
I3L2Q8	uc059shf.1 human
I3L2Q9	uc059tjh.1 human
I3L2R1	uc010cqm.1 human
I3L2R2	uc060adx.1 human
I3L2R3	uc059rff.1 human
I3L2R4	uc060alz.1 human
I3L2R5	uc060ala.1 human
I3L2R6	uc060aen.1 human
I3L2R7	uc059zjh.1 human
I3L2R8	uc059sba.1 human
I3L2R9	uc059rfe.1 human
I3L2S3	uc002dch.3 human
I3L2S4	uc059psd.1 human
I3L2S5	uc059sdf.1 human
I3L2S7	uc059qej.1 human
I3L2S8	uc059rex.1 human
I3L2S9	uc060aic.1 human
I3L2T0	uc060ali.1 human
I3L2T1	uc059qvv.1 human
I3L2T2	uc059xcs.1 human
I3L2T3	uc059opu.1 human
I3L2T6	uc002dbe.4 human
I3L2T8	uc059rfh.1 human
I3L2T9	uc059xda.1 human
I3L2U0	uc059qfj.1 human
I3L2U3	uc059xcy.1 human
I3L2U4	uc060kfv.1 human
I3L2V0	uc059tot.1 human
I3L2V2	uc060hsq.1 human
I3L2V3	uc059pyh.1 human
I3L2V5	uc060uiq.1 human
I3L2V7	uc060wpb.1 human
I3L2V8	uc059pvs.1 human
I3L2V9	uc060lay.1 human
I3L2W0	uc059zaa.1 human
I3L2W1	uc060cms.1 human
I3L2W2	uc060anf.1 human
I3L2W3	uc060abb.1 human
I3L2W4	uc060hsv.1 human
I3L2W5	uc059rum.1 human
I3L2W6	uc060akl.1 human
I3L2W7	uc060atv.1 human
I3L2W8	uc060hli.1 human
I3L2W9	uc060aka.1 human
I3L2X0	uc059yzw.1 human
I3L2X1	uc057bfa.1 human
I3L2X2	uc059rhh.1 human
I3L2X3	uc059pxd.1 human
I3L2X4	uc010cmo.4 human
I3L2X5	uc060gzd.1 human
I3L2X6	uc060lal.1 human
I3L2X7	uc060lhh.1 human
I3L2X8	uc059zgn.1 human
I3L2Y1	uc059uai.1 human
I3L2Y2	uc059swg.1 human
I3L2Y3	uc059zxu.1 human
I3L2Y5	uc059rqt.1 human
I3L2Y6	uc059qeb.1 human
I3L2Y7	uc060afb.1 human
I3L2Y9	uc060ade.1 human
I3L2Z2	uc060gji.1 human
I3L2Z4	uc060anx.1 human
I3L2Z5	uc059sul.1 human
I3L2Z6	uc059qwd.1 human
I3L2Z7	uc059rpq.1 human
I3L2Z8	uc060gmx.1 human
I3L2Z9	uc060ane.1 human
I3L300	uc059qcb.1 human
I3L301	uc059qcq.1 human
I3L303	uc059rjs.1 human
I3L304	uc060ahk.1 human
I3L305	uc060bdz.1 human
I3L306	uc059sue.1 human
I3L308	uc059yzr.1 human
I3L309	uc059sdt.1 human
I3L310	uc060avw.1 human
I3L311	uc059zty.1 human
I3L312	uc060lom.1 human
I3L316	uc060lhi.1 human
I3L317	uc060lns.1 human
I3L318	uc059zoq.1 human
I3L319	uc059rug.1 human
I3L320	uc059tuz.1 human
I3L321	uc060awc.1 human
I3L323	uc059qwr.1 human
I3L324	uc059rpn.1 human
I3L325	uc059ruq.1 human
I3L326	uc060lmy.1 human
I3L327	uc060lgg.1 human
I3L328	uc060gmr.1 human
I3L329	uc059qvu.1 human
I3L331	uc060cgx.1 human
I3L332	uc059tid.1 human
I3L333	uc059zvw.1 human
I3L334	uc060aoj.1 human
I3L336	uc059zbm.1 human
I3L337	uc059sbc.1 human
I3L338	uc060glg.1 human
I3L339	uc059rqm.1 human
I3L340	uc059uej.1 human
I3L341	uc060aec.1 human
I3L342	uc059qce.1 human
I3L345	uc010cqp.2 human
I3L346	uc060lna.1 human
I3L348	uc059wcd.1 human
I3L349	uc059yzy.1 human
I3L350	uc059zor.1 human
I3L351	uc059qdn.1 human
I3L352	uc059wpk.1 human
I3L354	uc063owu.1 human
I3L355	uc059zls.1 human
I3L356	uc060cjn.1 human
I3L357	uc060aga.1 human
I3L359	uc059qef.1 human
I3L360	uc060lhc.1 human
I3L361	uc059zmn.1 human
I3L362	uc059znl.1 human
I3L364	uc060hub.1 human
I3L365	uc060cfq.1 human
I3L367	uc060hqg.1 human
I3L368	uc059uir.1 human
I3L369	uc060htd.1 human
I3L373	uc060zgn.1 human
I3L374	uc059zbn.1 human
I3L375	uc060hpm.1 human
I3L376	uc060cgi.1 human
I3L378	uc060mdw.1 human
I3L379	uc059zdm.1 human
I3L380	uc061vxw.1 human
I3L381	uc059zwo.1 human
I3L382	uc059qwt.1 human
I3L383	uc060gwk.1 human
I3L384	uc059znt.1 human
I3L385	uc060llu.1 human
I3L386	uc060hrb.1 human
I3L387	uc059sdq.1 human
I3L388	uc059zkx.1 human
I3L390	uc059zle.1 human
I3L391	uc060uim.1 human
I3L392	uc061tzs.1 human
I3L393	uc059pxc.1 human
I3L394	uc060gmp.1 human
I3L396	uc060ahl.1 human
I3L397	uc060amn.1 human
I3L398	uc060log.1 human
I3L399	uc059zbq.1 human
I3L3A0	uc059qsy.1 human
I3L3A3	uc059zos.1 human
I3L3A5	uc060mcz.1 human
I3L3A6	uc059tlt.1 human
I3L3A7	uc032ftd.2 human
I3L3A9	uc059zlt.1 human
I3L3B0	uc060abq.1 human
I3L3B1	uc059pge.1 human
I3L3B3	uc060afr.1 human
I3L3B4	uc059tkq.1 human
I3L3B8	uc060chf.1 human
I3L3C1	uc060lnr.1 human
I3L3C2	uc059vjw.1 human
I3L3C4	uc059qxn.1 human
I3L3C5	uc060lfz.1 human
I3L3C6	uc060lgu.1 human
I3L3C7	uc059pqs.1 human
I3L3D0	uc060bdq.1 human
I3L3D3	uc059qeq.1 human
I3L3D4	uc010vth.3 human
I3L3D5	uc059zxz.1 human
I3L3D7	uc059pqk.1 human
I3L3D9	uc060afj.1 human
I3L3E0	uc059rpv.1 human
I3L3E3	uc059zgv.1 human
I3L3E4	uc060lfo.1 human
I3L3E6	uc031qyk.2 human
I3L3E8	uc059zvr.1 human
I3L3E9	uc058cek.1 human
I3L3F1	uc060lbr.1 human
I3L3F2	uc059twe.1 human
I3L3F5	uc059zfo.1 human
I3L3F7	uc059pqm.1 human
I3L3F9	uc059qwv.1 human
I3L3G0	uc059zby.1 human
I3L3G1	uc060gmw.1 human
I3L3G4	uc060adj.1 human
I3L3G5	uc060kzm.1 human
I3L3G6	uc060lao.1 human
I3L3G8	uc059qdg.1 human
I3L3G9	uc059rey.1 human
I3L3H0	uc060hru.1 human
I3L3H2	uc060lbh.1 human
I3L3H3	uc059zro.1 human
I3L3H4	uc060meo.1 human
I3L3H5	uc059oqw.1 human
I3L3H6	uc060gmy.1 human
I3L3H7	uc060hgo.1 human
I3L3H9	uc060lds.1 human
I3L3I0	uc060ljy.1 human
I3L3I1	uc060lkp.1 human
I3L3I2	uc059rpm.1 human
I3L3I5	uc059qbs.1 human
I3L3I6	uc059qfi.1 human
I3L3I7	uc059zwr.1 human
I3L3I8	uc059qoi.1 human
I3L3I9	uc060cns.1 human
I3L3J1	uc059wpx.1 human
I3L3J2	uc059pyf.1 human
I3L3J4	uc060akt.1 human
I3L3J7	uc060lgc.1 human
I3L3J8	uc060aun.1 human
I3L3J9	uc059rut.1 human
I3L3K1	uc060hue.1 human
I3L3K2	uc060hgz.1 human
I3L3K4	uc059swq.1 human
I3L3K5	uc060akx.1 human
I3L3K7	uc059wcx.1 human
I3L3K8	uc060lcr.1 human
I3L3K9	uc060cgb.1 human
I3L3L1	uc060gku.1 human
I3L3L3	uc060lav.1 human
I3L3L4	uc059qbm.1 human
I3L3L5	uc059ted.1 human
I3L3L6	uc060als.1 human
I3L3L8	uc060qit.1 human
I3L3L9	uc060htz.1 human
I3L3M0	uc059wgs.1 human
I3L3M2	uc059waj.1 human
I3L3M3	uc060hqc.1 human
I3L3M4	uc060alh.1 human
I3L3M7	uc060aer.1 human
I3L3M9	uc059yzu.1 human
I3L3N0	uc059zmd.1 human
I3L3N1	uc060lhn.1 human
I3L3N2	uc060axg.1 human
I3L3N5	uc059znz.1 human
I3L3N6	uc059rfz.1 human
I3L3N8	uc060alk.1 human
I3L3N9	uc060lnd.1 human
I3L3P0	uc059psj.1 human
I3L3P1	uc059sgj.1 human
I3L3P4	uc059psz.1 human
I3L3P5	uc060lop.1 human
I3L3P7	uc059rka.1 human
I3L3P8	uc059zsl.1 human
I3L3P9	uc059sye.1 human
I3L3Q2	uc060afq.1 human
I3L3Q3	uc059zsg.1 human
I3L3Q4	uc059zcb.1 human
I3L3Q5	uc059uac.1 human
I3L3Q7	uc060abr.1 human
I3L3Q8	uc059ppt.1 human
I3L3Q9	uc060app.1 human
I3L3R0	uc059wbd.1 human
I3L3R1	uc060gwl.1 human
I3L3R2	uc060lka.1 human
I3L3R3	uc060lhr.1 human
I3L3R4	uc059zug.1 human
I3L3R5	uc021uuj.1 human
I3L3R6	uc059sdh.1 human
I3L3R7	uc059tya.1 human
I3L3R8	uc060acc.1 human
I3L3R9	uc060adq.1 human
I3L3S0	uc060axa.1 human
I3L3S2	uc059qww.1 human
I3L3S5	uc059sfk.1 human
I3L3S6	uc059zpp.1 human
I3L3S9	uc002cvj.3 human
I3L3T0	uc059qcz.1 human
I3L3T1	uc059zeo.1 human
I3L3T3	uc060lcf.1 human
I3L3T4	uc002iub.4 human
I3L3U1	uc060gnk.1 human
I3L3U3	uc060cft.1 human
I3L3U6	uc060loo.1 human
I3L3U7	uc059ziq.1 human
I3L3U8	uc059qvq.1 human
I3L3U9	uc059qxj.1 human
I3L3V0	uc059zzf.1 human
I3L3V3	uc060gys.1 human
I3L3V4	uc060glx.1 human
I3L3V5	uc060axb.1 human
I3L3V6	uc060huj.1 human
I3L3V9	uc060lqc.1 human
I3L3W0	uc059zdz.1 human
I3L3W1	uc059zgp.1 human
I3L3W2	uc060mvo.1 human
I3L3W3	uc059znk.1 human
I3L3W4	uc060gzz.1 human
I3L3W5	uc060mdu.1 human
I3L3W6	uc059zyx.1 human
I3L3W7	uc059zte.1 human
I3L3W9	uc060cob.1 human
I3L3X0	uc059pqu.1 human
I3L3X1	uc060alt.1 human
I3L3X5	uc060aor.1 human
I3L3X6	uc060anz.1 human
I3L3X7	uc059zwd.1 human
I3L3X8	uc059qqc.1 human
I3L3X9	uc059zkn.1 human
I3L3Y0	uc060aed.1 human
I3L3Y1	uc059run.1 human
I3L3Y2	uc059sfa.1 human
I3L3Y3	uc059qte.1 human
I3L3Y5	uc060gmn.1 human
I3L3Y6	uc059zfl.1 human
I3L3Y8	uc059pyj.1 human
I3L3Y9	uc060amo.1 human
I3L3Z0	uc059qfg.1 human
I3L3Z1	uc059ttp.1 human
I3L3Z2	uc060avt.1 human
I3L3Z3	uc059zji.1 human
I3L3Z4	uc059rpy.1 human
I3L3Z7	uc059rae.1 human
I3L3Z8	uc059zhp.1 human
I3L3Z9	uc060yho.1 human
I3L400	uc059rks.1 human
I3L401	uc060aks.1 human
I3L402	uc059zpu.1 human
I3L404	uc059pdb.1 human
I3L405	uc060atg.1 human
I3L407	uc060mds.1 human
I3L409	uc059qvm.1 human
I3L410	uc060akj.1 human
I3L411	uc059suq.1 human
I3L412	uc059zvn.1 human
I3L413	uc060wox.1 human
I3L414	uc060lbo.1 human
I3L417	uc059pvm.1 human
I3L418	uc059vlz.1 human
I3L419	uc060ads.1 human
I3L421	uc059zlq.1 human
I3L423	uc059qee.1 human
I3L424	uc060afg.1 human
I3L425	uc059zjg.1 human
I3L426	uc059qeg.1 human
I3L427	uc060adr.1 human
I3L428	uc059zjn.1 human
I3L431	uc060ahr.1 human
I3L433	uc060cfm.1 human
I3L435	uc060ckb.1 human
I3L436	uc060lfi.1 human
I3L437	uc060aln.1 human
I3L438	uc059rqo.1 human
I3L439	uc060mer.1 human
I3L440	uc061vxu.1 human
I3L442	uc059qdo.1 human
I3L443	uc059zco.1 human
I3L445	uc059zuu.1 human
I3L446	uc060llg.1 human
I3L448	uc001cqh.5 human
I3L449	uc059wxp.1 human
I3L454	uc010wux.3 human
I3L455	uc059pzw.1 human
I3L456	uc060aap.1 human
